Date,Open,High,Low,Close,Volume,Turnover,prevclose,gappct,gapDOWN,Consgapdown,gappctHObO,gappctHObO1,gappctHObO2,gappctHObO3,gappctHObO4,gappctHObO5,gappctOLbO,gappctOLbO1,gappctOLbO2,gappctOLbO3,gappctOLbO4,gappctOLbO5
2006-12-11,3961.9,3965.05,3798.3,3849.5,79520623,46882900000.0,3962.0,-0.0025239777889931613,True,1.0,0.04129331886216207,0.04129331886216207,,,,,0.04129331886216207,0.04129331886216207,,,,
2006-12-12,3849.1,3861.25,3661.6,3716.9,105472463,59589900000.0,3849.5,-0.010390959864919884,True,2.0,0.048712686082460835,0.048712686082460835,,,,,0.048712686082460835,0.048712686082460835,,,,
2006-12-13,3716.75,3777.6,3657.65,3765.2,93071516,51858400000.0,3716.9,-0.00403562108208698,True,3.0,0.01590098876706798,0.01590098876706798,,,,,0.01590098876706798,0.01590098876706798,,,,
2007-01-08,3983.3,3987.45,3913.0,3933.4,63615668,35900800000.0,3983.4,-0.0025104182356757805,True,1.0,0.017648683252579563,0.017648683252579563,,,,,0.017648683252579563,0.017648683252579563,,,,
2007-01-09,3933.3,3963.75,3890.75,3911.4,65321592,37531800000.0,3933.4,-0.0025423297910181788,True,2.0,0.01081788828718892,0.01081788828718892,,,,,0.01081788828718892,0.01081788828718892,,,,
2007-01-10,3910.95,3911.95,3841.7,3850.3,68470689,38926800000.0,3911.4,-0.011504832029459346,True,3.0,0.017706695304209975,0.017706695304209975,,,,,0.017706695304209975,0.017706695304209975,,,,
2007-03-28,3818.75,3830.3,3752.95,3761.1,83105233,44658500000.0,3819.95,-0.03141402374376152,True,1.0,0.01723076923076928,0.01723076923076928,,,,,0.01723076923076928,0.01723076923076928,,,,
2007-03-29,3759.15,3805.85,3750.35,3798.1,111423813,57618400000.0,3761.1,-0.05184653425858972,True,2.0,0.002340954737108171,0.002340954737108171,,,,,0.002340954737108171,0.002340954737108171,,,,
2007-03-30,3788.85,3832.2,3785.3,3821.55,81295476,39453200000.0,3798.1,-0.24354282404360073,True,3.0,0.0009369597635165624,0.0009369597635165624,,,,,0.0009369597635165624,0.0009369597635165624,,,,
2007-04-02,3820.0,3820.0,3617.0,3633.6,74611355,39793100000.0,3821.55,-0.04055945885832141,True,4.0,0.053141361256544506,0.053141361256544506,,,,,0.053141361256544506,0.053141361256544506,,,,
2007-07-05,4359.2,4378.55,4311.8,4353.95,64671779,37994000000.0,4359.3,-0.0022939462757865666,True,1.0,0.010873554780693621,0.010873554780693621,,,,,0.010873554780693621,0.010873554780693621,,,,
2007-07-06,4353.1,4411.0,4304.0,4384.85,84077477,47588700000.0,4353.95,-0.019522502555138536,True,2.0,0.011279318187039204,0.011279318187039204,,,,,0.011279318187039204,0.011279318187039204,,,,
2007-07-10,4419.1,4434.45,4393.0,4406.05,73279845,40444100000.0,4419.4,-0.0067882517988702646,True,1.0,0.005906179991401046,0.005906179991401046,,,,,0.005906179991401046,0.005906179991401046,,,,
2007-07-11,4403.8,4411.45,4344.7,4387.15,78074214,42477100000.0,4406.05,-0.0510661476832991,True,2.0,0.013420227984922194,0.013420227984922194,,,,,0.013420227984922194,0.013420227984922194,,,,
2007-07-27,4618.65,4618.9,4424.25,4445.2,137904339,80192600000.0,4619.8,-0.024892852504449236,True,1.0,0.04209022116852319,0.04209022116852319,,,,,0.04209022116852319,0.04209022116852319,,,,
2007-07-30,4442.35,4493.05,4403.7,4440.05,95133545,50362500000.0,4445.2,-0.06411410060288524,True,2.0,0.008700350039956452,0.008700350039956452,,,,,0.008700350039956452,0.008700350039956452,,,,
2007-08-10,4393.6,4395.5,4239.2,4333.35,83430243,49700700000.0,4403.2,-0.21802325581394114,True,1.0,0.03514202476329218,0.03514202476329218,,,,,0.03514202476329218,0.03514202476329218,,,,
2007-08-13,4324.65,4383.8,4324.65,4373.65,49978808,28593500000.0,4333.35,-0.20076845858286838,True,2.0,0.0,0.0,,,,,0.0,0.0,,,,
2007-08-16,4366.0,4366.0,4171.15,4178.6,97455252,56474000000.0,4370.2,-0.09610544139855884,True,1.0,0.04462895098488327,0.04462895098488327,,,,,0.04462895098488327,0.04462895098488327,,,,
2007-08-17,4171.1,4171.1,4002.2,4108.05,136745082,78905200000.0,4178.6,-0.17948595223280522,True,2.0,0.04049291553786784,0.04049291553786784,,,,,0.04049291553786784,0.04049291553786784,,,,
2007-08-28,4302.4,4329.15,4280.6,4320.7,64161720,37637800000.0,4302.6,-0.004648352159176488,True,1.0,0.005066939382669969,0.005066939382669969,,,,,0.005066939382669969,0.005066939382669969,,,,
2007-08-29,4317.7,4368.6,4226.35,4359.3,86795180,49485700000.0,4320.7,-0.06943319369546602,True,2.0,0.02115709752877677,0.02115709752877677,,,,,0.02115709752877677,0.02115709752877677,,,,
2007-10-17,5658.9,5658.9,5107.3,5559.3,186850872,133947300000.0,5668.05,-0.16143118003547155,True,1.0,0.09747477424941234,0.09747477424941234,,,,,0.09747477424941234,0.09747477424941234,,,,
2007-10-18,5551.1,5736.8,5269.65,5351.0,206826198,139265300000.0,5559.3,-0.1475005846059723,True,2.0,0.050701662733512405,0.050701662733512405,,,,,0.050701662733512405,0.050701662733512405,,,,
2007-11-02,5854.85,5944.75,5714.25,5932.4,164840883,103903700000.00002,5866.45,-0.19773457542465125,True,1.0,0.024014278760344048,0.024014278760344048,,,,,0.024014278760344048,0.024014278760344048,,,,
2007-11-05,5931.9,5948.55,5819.6,5847.3,169236876,108163400000.0,5932.4,-0.008428292090890702,True,2.0,0.01893153964159869,0.01893153964159869,,,,,0.01893153964159869,0.01893153964159869,,,,
2007-11-06,5847.1,5957.2,5759.95,5786.5,244846922,113565500000.0,5847.3,-0.0034203820566726197,True,3.0,0.014904824613911263,0.014904824613911263,,,,,0.014904824613911263,0.014904824613911263,,,,
